"Week","Day","Platform","Pillar","Content Type & Concept","Copy Angle & Objective"
"Week 3: Solving the Mistry Gap","Day 5","FB / YT","Myth Buster","Comparison Video: Local Aluminium vs. Ghorbari Air-Tight Framing.","Execution: ""বৃষ্টি এলে কি জানালা দিয়ে পানি ঢোকে? The value of precision measurement."""
"Week 3: Solving the Mistry Gap","Day 6","Facebook","Promotion","Lead Ad: ""Book a Free Site Health Checkup.""","Conversion: ""Targeting 'The Repairer' persona to switch out bad tiles/paint."""
"Week 3: Solving the Mistry Gap","Day 7","Facebook Group","Authority","Q&A Session: ""Ask us anything about damp walls or cracked tiles!""","Community: Establish the ""Sage/Advisor"" archetype directly."
"Week 4: The Technical Guardian","Day 1","FB / IG / YT","Case Study","Video Testimonial: ""How we saved 10% on Rod/Cement.""","Social Proof: Let actual clients speak to the Value Engineering savings."
"Week 4: The Technical Guardian","Day 2","Facebook","Guarantee","Carousel: ""The Ghorbari Workmanship Warranty.""","Objection Handling: ""Yes, we cost 5% more upfront than a mistry, but we last 3x longer."""
"Week 4: The Technical Guardian","Day 3","WhatsApp","Direct Outreach","Telesales Blast: Follow up with Week 2 & 3 Leads.","Sales Conversion: Telesales team focuses on booking ""Zoom Consultations"" or Site Visits."
"Week 4: The Technical Guardian","Day 4","Instagram","Transformation","Full Before/After: Old damp apartment to a modern smart-home.","Aesthetic Check: Final push on visual excellence."
"Week 4: The Technical Guardian","Day 5","Facebook","Value Engineering","Infographic: ""The Actual Cost of Cheap Labor.""","Financial Logic: A cost-breakdown comparison over a 5-year span."
"Week 4: The Technical Guardian","Day 6","Facebook","Promo","Ad Campaign: Complete ""Design to Finish"" Package.","Offer Stack: Bundle design, procurement, and execution."
"Week 4: The Technical Guardian","Day 7","FB / YT","Brand Story","Personal Video: The Founder's Mission against hidden costs.","Trust Wrap-up: ""আমরা চাই না আপনার জীবনের জমানো টাকা কোনো ভুল সিদ্ধান্তে নষ্ট হোক।"""
